"","team_name","team_round","goals_scored_open_play_average","goals_scored_set_play_average","goals_scored_average","goals_scored_corner_average","goals_scored_free_kick_average","goals_scored_penalty_average","goals_scored_.throw_in_average","goal_scored_foot_average","goals_scored_header_average","goals_scored_own_goal_average","final_third_entries_average","penalty_area_entries_average","shot_precision_percentage","shots_per_goal_average","shots_on_target_per_goal_average","shots_inside_penalty_area_per_goal_average","shots_outside_penalty_area_per_goal_average","shots_scored_inside_penalty_area_percentage","shots_scored_outside.penalty_area_percentage","shots_on_target_average","shots_average","clean_sheets_percentage","goals_conceded_average","shots_conceded_average","possession_average","passes_average","passes_completed_percentage","passes_completed_per_match_average","bypassed_opponents_average","bypassed_defenders_average","dribbles_average","dribbles_completed_average","dribbles_completed_percentage","corners_average","crosses_average","crosses_completed_average","crosses_completed_percentage","recoveries_average","clearances_average","interceptations_average","steals_attemped_average","steals_completed_average","steals_completed_percentage","duels_won_percentage","distance_covered_average","distance_covered_over20kmh_average","distance_covered_over25kmh_average","zone5_activities_over25kmh_total","compactness_in_possesion_average","compactness_out_of_possession_average","length_in_possession_average","length_out_of_possession_average","width_in_possession_average","width_out_of_possession_average","height_in_possession_average","height_out_of_possession_average","fouls_commited_average","fouls_recieved_average","yellow_cards_average","red_cards_average","goalkeeper_position_in_possession_average","goalkeeper_position_out_of_possession_average","goalkeeper_saves_average","shots_on_target_conceded_average","xg_total_average","goals-xG_total","xg_per_shot_average"
"1","Argentina","Round of 16",1.5,0,1.5,0,0,0,0,1.25,0.25,0,67,35,0.529,9.5,3,7,22,0.83,0.17,4.5,14.3,0,2.25,3.5,0.64,496.25,0.85,496.25,273,29,20.25,13.25,0.654,6,12.5,1.75,0.14,49,18.5,7.75,16.5,11.25,0.682,0.513,99880,7230,1968,313,739,574,25,24,42,34,43,40,14,19,2.75,0,18.5,15,1.5,3.75,1.24,1.04,0.09
"2","Australia","Group stage",0,0.67,0.67,0,0,0.67,0,0.67,0,0,53,29,0.333,17.5,4,11.5,0,1,0,2.7,11.7,0,1.67,4.67,0.51,479,0.837,401,291,26,18,11,0.611,4.67,12.33,2,0.162,58,23.67,8,15,9.33,0.622,0.503,110187,8323,2377,368,843,454,29,22,43,32,39,34,12.67,10,2.33,0,17,12,3,4.67,1.17,-1.5,0.1
"3","Belgium","Third",2.14,0.14,2.29,0,0,0.14,0,1.72,0.43,0.14,54,30,0.506,6.7,2.5,4.5,39,0.94,0.06,5.7,15.3,0.43,0.86,4.71,0.53,515.71,0.863,445,310,49,17.29,13.14,0.76,5.71,10.43,2.86,0.274,55.86,16.86,7.43,13.43,9.14,0.681,0.511,105014,7567,2144,324,811,612,30,27,40,34,39,35,14.14,10.57,1.57,0,14,11,3.57,4.57,1.7,4.13,0.11
"4","Brazil","Quarter-finals",1.4,0.2,1.6,0.2,0,0,0,1.2,0.4,0,54,37,0.526,13.3,4.8,9.4,40,0.88,0.12,7.6,21.2,0.6,0.6,1.8,0.56,556.6,0.879,489.4,332,45,22.6,14.8,0.655,8.2,12.8,2.6,0.203,56.4,16.2,12,17.6,11.4,0.648,0.524,103138,8108,2176,347,965,679,30,26,44,35,39,37,9.8,14.4,1.4,0,16,13,1,1.4,2.47,-4.35,0.12
"5","Colombia","Round of 16",0.5,1,1.5,0.75,0.25,0,0,0.75,0.75,0,64,29,0.481,6.5,2,4,19,0.83,0.17,3,9.8,0.5,0.75,3.25,0.51,459.25,0.799,367.25,270,33,16,7.75,0.488,3.25,12.75,2,0.157,62.75,25.75,9,15.75,11.25,0.714,0.449,101090,7585,2210,331,819,613,30,27,44,36,37,32,15.75,13,2.25,0.25,14,8,2.5,3.25,0.68,3.28,0.07
"6","Costa Rica","Group stage",0.33,0.33,0.67,0.33,0,0,0,0,0.33,0.33,46,28,0.429,14,4.5,7.5,0,1,0,3,9.3,0,1.67,5.33,0.41,356.67,0.771,275,237,28,16.33,9,0.551,3.67,10.67,3,0.281,61,25,12.67,18.33,10.67,0.582,0.451,106667,7203,1853,307,778,545,32,26,40,34,38,33,14.33,11.67,2,0,13,11,3.33,5,0.7,-0.0899999999999997,0.08
"7","Croatia","Runner-up",1.71,0.29,2,0,0.14,0.14,0,1.57,0.29,0.14,65,40,0.33,8.5,2,5,54,0.93,0.07,4,17,0.29,1.29,4,0.56,554.57,0.812,443.14,278,30,18,11.86,0.659,5.51,19.14,2.86,0.149,67.86,27.29,10.29,16,10.86,0.679,0.519,102747,7996,2236,350,762,437,29,24,42,32,38,34,16,15.29,2.14,0,11.5,8.5,2.86,4.14,1.49,3.57,0.09
"8","Denmark","Round of 16",0.5,0.25,0.75,0,0,0,0.25,0.75,0,0,65,33,0.394,13.3,4,6.7,0,1,0,3,10,0.5,0.5,4.75,0.45,417.25,0.793,331,238,35,13.5,8.25,0.611,4.5,8.75,1.75,0.2,53.5,27.5,8.75,14.25,8.5,0.596,0.467,107670,7373,1965,320,803,584,31,26,41,31,40,33,13.5,7,1.5,0,14,10,4.75,5,0.7,0.2,0.07
"9","Egypt","Group stage",0.33,0.33,0.67,0,0,0.33,0,0.67,0,0,57,28,0.238,14.5,2.5,15,14,0.5,0.5,1.7,9.7,0,2,5.67,0.44,409.67,0.772,314.67,227,30,11.33,5.67,0.5,2,12,2,0.167,63.33,24,18,16.33,10,0.612,0.421,109157,7887,1940,337,786,504,36,29,31,27,31,31,12.67,7.33,1.67,0,9.5,9,3,5,0.88,-0.63,0.09
"10","England","Fourth",0.43,1.29,1.71,0.57,0.43,0.57,0,1,0.71,0,67,39,0.409,8.1,2.3,6.2,18,0.83,0.17,3.9,13.9,0.14,1.14,3.57,0.53,548.57,0.853,468,281,33,15,10,0.667,5.57,9.57,1.29,0.134,55.14,17.86,8,12.71,6.71,0.528,0.548,106986,7801,2229,335,767,537,29,27,44,35,41,36,10,14.43,1.14,0,18,14,2.43,3.57,1.48,1.61,0.11
